Timestamp,Asset Class,Entry Type,Symbol,Amount,Balance After,Notes
2026-04-09T20:12:17.434Z,stock,FILL,UAL,39.3892144881,433.488677060273,"Exit: Stop hit at 97.37"
2026-04-09T20:12:16.618Z,stock,FILL,CCL,39.4508374605,394.099462572173,"Exit: Stop hit at 27.92"
2026-04-09T20:11:15.317Z,stock,FILL,UAL,-39.40540239,354.648625111673,"Paper entry: UAL × 0.404698 @ 97.3700"
2026-04-09T20:11:10.002Z,stock,FILL,UAL,38.967236574000005,394.05402750167303,"Exit: Stop hit at 97.37"
2026-04-09T20:10:43.279Z,stock,FILL,CCL,-39.45408793,355.086790927673,"Paper entry: CCL × 1.413249 @ 27.9173"
2026-04-09T20:10:36.744Z,stock,FILL,CCL,43.3307766781,394.540878857673,"Exit: Stop hit at 27.92"
2026-04-09T20:10:10.858Z,stock,FILL,UAL,-39.02334491,351.210102179573,"Paper entry: UAL × 0.400774 @ 97.3700"
2026-04-09T20:10:03.339Z,stock,FILL,UAL,38.962015416,390.233447089573,"Exit: Stop hit at 97.37"
2026-04-09T20:08:57.932Z,stock,FILL,UAL,-39.03015886,351.27143167357303,"Paper entry: UAL × 0.400844 @ 97.3700"
2026-04-09T20:08:55.102Z,stock,FILL,UAL,39.030158858600004,390.30159053357306,"Exit: Stop hit at 97.37"
2026-04-09T20:07:29.516Z,stock,FILL,UAL,-39.03015886,351.2714316749731,"Paper entry: UAL × 0.400844 @ 97.3700"
2026-04-09T20:07:14.684Z,stock,FILL,UAL,39.0121204884,390.30159053497306,"Exit: Stop hit at 97.37"
2026-04-09T20:06:07.804Z,stock,FILL,UAL,-39.03216371,351.28947004657306,"Paper entry: UAL × 0.400864 @ 97.3700"
2026-04-09T20:06:06.272Z,stock,FILL,UAL,39.020437990625,390.3216337565731,"Exit: Stop hit at 97.37"
2026-04-09T20:05:02.473Z,stock,FILL,UAL,-39.03346652,351.3011957659481,"Paper entry: UAL × 0.400878 @ 97.3700"
2026-04-09T20:05:00.276Z,stock,FILL,UAL,39.0190344326,390.33466228594807,"Exit: Stop hit at 97.37"
